PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10000291.0,10000291.0,K00453,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00454,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00455,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00457,1.0,10.0,10.0,20.0,55.0,85.0,0.0,10.0,0.0,25.0,10.0,60.0
10000291.0,10000291.0,K00458,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00459,1.0,15.0,15.0,25.0,50.0,85.0,25.0,0.0,10.0,10.0,10.0,50.0
10000291.0,10000291.0,K00462,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00466,1.0,35.0,35.0,55.0,65.0,90.0,10.0,5.0,5.0,15.0,5.0,70.0
10000291.0,10000291.0,K00468,1.0,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
10000291.0,10000291.0,K00475,1.0,10.0,10.0,15.0,70.0,80.0,10.0,10.0,0.0,20.0,10.0,50.0
10000291.0,10000291.0,K00476,1.0,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
10000291.0,10000291.0,K00478,1.0,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
10000291.0,10000291.0,K00480,1.0,20.0,20.0,35.0,65.0,90.0,5.0,5.0,5.0,10.0,0.0,75.0
10000291.0,10000291.0,K00481,1.0,20.0,20.0,35.0,65.0,90.0,5.0,5.0,5.0,10.0,0.0,75.0
10000291.0,10000291.0,K00482,1.0,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
10000291.0,10000291.0,K00483,1.0,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
10000291.0,10000291.0,K00484,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00485,1.0,10.0,10.0,15.0,70.0,90.0,0.0,10.0,0.0,10.0,0.0,80.0
10000291.0,10000291.0,K00486,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00487,1.0,50.0,50.0,85.0,55.0,85.0,10.0,0.0,10.0,15.0,0.0,60.0
10000291.0,10000291.0,K00488,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00489,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00490,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00491,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00492,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00493,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00494,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00495,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00496,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00497,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00498,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00499,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00501,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00501,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00502,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00502,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00503,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00503,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00504,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00505,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00506,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00507,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00508,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00509,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00510,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00511,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00512,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00513,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00514,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00517,1.0,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
10000291.0,10000291.0,K00518,1.0,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
10000291.0,10000291.0,K00519,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00520,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00521,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00522,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00527,1.0,150.0,150.0,245.0,61.0,94.0,1.0,1.0,0.0,7.0,5.0,87.0
10000291.0,10000291.0,K00527,1.0,30.0,30.0,40.0,70.0,100.0,0.0,0.0,0.0,5.0,0.0,95.0
10000291.0,10000291.0,K00528,1.0,35.0,35.0,50.0,70.0,95.0,0.0,0.0,0.0,10.0,5.0,90.0
10000291.0,10000291.0,K00528,1.0,30.0,30.0,40.0,70.0,100.0,0.0,0.0,0.0,5.0,0.0,95.0
10000291.0,10000291.0,K00531,1.0,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
10000291.0,10000291.0,K00532,1.0,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
10000291.0,10000291.0,K00533,1.0,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
10000291.0,10000291.0,K00533,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00534,1.0,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
10000291.0,10000291.0,K00534,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00535,1.0,120.0,120.0,195.0,62.0,93.0,3.0,2.0,1.0,16.0,5.0,74.0
10000291.0,10000291.0,K00536,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00537,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00538,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00539,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00540,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00541,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00542,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00543,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00544,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00545,1.0,30.0,30.0,50.0,60.0,80.0,10.0,0.0,20.0,5.0,0.0,65.0
10000291.0,10000291.0,K00548,1.0,60.0,60.0,120.0,51.0,83.0,12.0,8.0,2.0,24.0,7.0,48.0
10000291.0,10000291.0,K00554,1.0,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
10000291.0,10000291.0,K00555,1.0,35.0,35.0,55.0,65.0,90.0,10.0,5.0,5.0,15.0,5.0,70.0
10000291.0,10000291.0,K00558,1.0,170.0,170.0,320.0,54.0,92.0,16.0,1.0,4.0,9.0,4.0,67.0
10000291.0,10000291.0,K00559,1.0,35.0,35.0,60.0,65.0,90.0,10.0,10.0,5.0,5.0,0.0,75.0
10000291.0,10000291.0,K00560,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00565,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00565,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
10000291.0,10000291.0,K00566,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00566,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
10000291.0,10000291.0,K00567,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00568,1.0,15.0,15.0,20.0,75.0,85.0,20.0,5.0,5.0,20.0,0.0,50.0
10000291.0,10000291.0,K00568,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00569,1.0,15.0,15.0,20.0,75.0,85.0,20.0,5.0,5.0,20.0,0.0,50.0
10000291.0,10000291.0,K00569,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00572,1.0,40.0,40.0,50.0,75.0,85.0,5.0,5.0,5.0,10.0,5.0,75.0
10000291.0,10000291.0,K00573,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00574,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00575,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00576,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00577,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00578,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00579,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
